2024-01-01, Montroy, ES, overcast clouds, 8.8, 75%, 2.0, W, 08:22, 17:49
2024-01-25, Montroy, ES, clear sky, 11.1, 58%, 4.0, W, 08:15, 18:13
2024-01-25, Montroy, ES, clear sky, 22.1, 41%, 3.0, SSE, 08:15, 18:13
2024-01-25, Montroy, ES, broken clouds, 16.4, 63%, 3.0, SSW, 08:15, 18:13
2024-01-26, Montroy, ES, broken clouds, 11.3, 66%, 5.0, W, 08:15, 18:14
2024-01-26, Montroy, ES, broken clouds, 20.1, 46%, 2.0, E, 08:15, 18:14
2024-01-26, Montroy, ES, overcast clouds, 17.8, 55%, 2.0, N, 08:15, 18:14
2024-01-27, Montroy, ES, overcast clouds, 8.7, 78%, 5.0, WNW, 08:14, 18:15
2024-01-27, Montroy, ES, overcast clouds, 17.2, 53%, 3.0, E, 08:14, 18:15
2024-01-27, Montroy, ES, overcast clouds, 15.3, 67%, 4.0, SE, 08:14, 18:15
2024-01-28, Montroy, ES, broken clouds, 6.9, 85%, 5.0, W, 08:13, 18:16
2024-01-28, Montroy, ES, broken clouds, 14.1, 47%, 4.5, E, 08:13, 18:16
2024-01-28, Montroy, ES, broken clouds, 11.5, 93%, 2.0, E, 08:13, 18:16
2024-01-29, Montroy, ES, overcast clouds, 9.7, 91%, 4.0, WNW, 08:12, 18:18
2024-01-29, Montroy, ES, overcast clouds, 12.8, 80%, 4.0, NNW, 08:12, 18:18
2024-01-29, Montroy, ES, overcast clouds, 13.1, 81%, 4.0, ENE, 08:12, 18:18
2024-01-30, Montroy, ES, overcast clouds, 11.6, 89%, 2.0, W, 08:12, 18:19
2024-01-30, Montroy, ES, overcast clouds, 13.4, 78%, 4.8, ENE, 08:12, 18:19
2024-01-30, Montroy, ES, overcast clouds, 13.1, 76%, 3.0, ESE, 08:12, 18:19
2024-01-31, Montroy, ES, overcast clouds, 10, 89%, 2.7, W, 08:11, 18:20
2024-01-31, Montroy, ES, broken clouds, 13.1, 83%, 4.0, SE, 08:11, 18:20
2024-01-31, Montroy, ES, broken clouds, 12.8, 78%, 2.0, E, 08:11, 18:20
**Feb**,,,,,,,,,
2024-02-01, Montroy, ES, clear sky, 5.1, 94%, 4.0, W, 08:10, 18:21
2024-02-01, Montroy, ES, few clouds, 16.2, 37%, 2.3, ESE, 08:10, 18:21
2024-02-01, Montroy, ES, few clouds, 16, 45%, 2.0, ESE, 08:10, 18:21
2024-02-02, Montroy, ES, overcast clouds, 7.5, 71%, 5.0, WNW, 08:09, 18:22
2024-02-02, Montroy, ES, broken clouds, 15.2, 69%, 5.0, ESE, 08:09, 18:22
2024-02-02, Montroy, ES, scattered clouds, 13.9, 67%, 3.0, ESE, 08:09, 18:22
2024-02-03, Montroy, ES, clear sky, 5.4, 90%, 4.0, W, 08:08, 18:24
2024-02-03, Montroy, ES, clear sky, 15.8, 56%, 4.0, SSE, 08:08, 18:24
2024-02-03, Montroy, ES, clear sky, 15, 57%, 3.0, SE, 08:08, 18:24
2024-02-04, Montroy, ES, clear sky, 7.3, 71%, 4.0, W, 08:07, 18:25
2024-02-04, Montroy, ES, clear sky, 17.2, 44%, 2.0, ENE, 08:07, 18:25
2024-02-04, Montroy, ES, clear sky, 15.1, 56%, 3.0, SE, 08:07, 18:25
2024-02-05, Montroy, ES, clear sky, 5.3, 47%, 4.9, W, 08:06, 18:26
2024-02-05, Montroy, ES, scattered clouds, 17.7, 41%, 4.0, ESE, 08:06, 18:26
2024-02-05, Montroy, ES, overcast clouds, 15.2, 66%, 2.0, SSE, 08:06, 18:26
2024-02-06, Montroy, ES, overcast clouds, 9.4, 66%, 3.0, W, 08:05, 18:27
2024-02-06, Montroy, ES, overcast clouds, 16.6, 50%, 4.0, ENE, 08:05, 18:27
2024-02-06, Montroy, ES, overcast clouds, 14.7, 57%, 3.0, SSW, 08:05, 18:27
2024-02-07, Montroy, ES, clear sky, 11.7, 65%, 15.0, NW, 08:04, 18:28
2024-02-07, Montroy, ES, clear sky, 17.1, 49%, 12.0, WSW, 08:04, 18:28
2024-02-07, Montroy, ES, scattered clouds, 18.1, 51%, 11.0, W, 08:04, 18:28
2024-02-08, Montroy, ES, broken clouds, 12.9, 70%, 3.0, WNW, 08:03, 18:29
2024-02-08, Montroy, ES, broken clouds, 18.6, 53%, 5.0, W, 08:03, 18:29
2024-02-08, Montroy, ES, overcast clouds, 17.3, 62%, 2.0, SSE, 08:03, 18:29
2024-02-09, Montroy, ES, overcast clouds, 11.1, 95%, 3.0, WNW, 08:02, 18:31
2024-02-09, Montroy, ES, overcast clouds, 16.2, 67%, 3.0, ESE, 08:02, 18:31
2024-02-09, Montroy, ES, light rain, 14.1, 83%, 1.0, WSW, 08:02, 18:31
2024-02-10, Montroy, ES, broken clouds, 13, 63%, 22.0, WNW, 08:01, 18:32
2024-02-10, Montroy, ES, scattered clouds, 16.1, 40%, 20.0, WNW, 08:01, 18:32
2024-02-10, Montroy, ES, few clouds, 15.1, 45%, 25.2, W, 08:01, 18:32
2024-02-11, Montroy, ES, overcast clouds, 8.1, 61%, 10.0, WNW, 08:00, 18:33
2024-02-11, Montroy, ES, overcast clouds, 12.4, 55%, 9.0, W, 08:00, 18:33
2024-02-11, Montroy, ES, overcast clouds, 14.1, 54%, 5.0, WNW, 08:00, 18:33
2024-02-12, Montroy, ES, broken clouds, 11.1, 79%, 7.0, WSW, 07:59, 18:34
2024-02-12, Montroy, ES, few clouds, 19.7, 53%, 19.0, W, 07:59, 18:34
2024-02-12, Montroy, ES, clear sky, 20.4, 42%, 14.0, W, 07:59, 18:34
2024-02-13, Montroy, ES, overcast clouds, 13.5, 70%, 7.0, W, 07:57, 18:35
2024-02-13, Montroy, ES, broken clouds, 21.3, 54%, 11.0, W, 07:57, 18:35
2024-02-13, Montroy, ES, scattered clouds, 20.1, 52%, 8.0, SW, 07:57, 18:35
2024-02-14, Montroy, ES, few clouds, 11.1, 84%, 3.0, W, 07:56, 18:37
2024-02-14, Montroy, ES, broken clouds, 19.4, 62%, 1.0, SE, 07:56, 18:37
2024-02-14, Montroy, ES, overcast clouds, 16.1, 68%, 4.0, ESE, 07:56, 18:37
2024-02-15, Montroy, ES, overcast clouds, 9.6, 87%, 2.0, WNW, 07:55, 18:38
2024-02-15, Montroy, ES, overcast clouds, 17.6, 63%, 6.0, ENE, 07:55, 18:38
2024-02-15, Montroy, ES, overcast clouds, 15.2, 73%, 3.0, E, 07:55, 18:38
2024-02-16, Montroy, ES, broken clouds, 12.8, 71%, 14.0, WNW, 07:54, 18:39
2024-02-16, Montroy, ES, broken clouds, 13.5, 46%, 6.7, N, 07:54, 18:39
2024-02-16, Montroy, ES, overcast clouds, 13.8, 85%, 4.0, SE, 07:54, 18:39
2024-02-17, Montroy, ES, clear sky, 8.2, 75%, 3.0, W, 07:53, 18:40
2024-02-17, Montroy, ES, scattered clouds, 17.1, 48%, 4.0, SSW, 07:53, 18:40
2024-02-17, Montroy, ES, few clouds, 17, 52%, 4.0, E, 07:53, 18:40
2024-02-18, Montroy, ES, few clouds, 7.9, 75%, 2.0, W, 07:51, 18:41
2024-02-18, Montroy, ES, broken clouds, 18.8, 51%, 3.0, ESE, 07:51, 18:41
2024-02-18, Montroy, ES, broken clouds, 16.5, 63%, 2.0, ENE, 07:51, 18:41
2024-02-19, Montroy, ES, broken clouds, 10.7, 63%, 2.0, WNW, 07:50, 18:42
2024-02-19, Montroy, ES, broken clouds, 18.6, 46%, 4.0, SE, 07:50, 18:42
2024-02-19, Montroy, ES, scattered clouds, 16.9, 54%, 4.0, ESE, 07:50, 18:42
2024-02-20, Montroy, ES, clear sky, 9.5, 72%, 5.0, W, 07:49, 18:43
2024-02-20, Montroy, ES, clear sky, 19.3, 40%, 8.0, ESE, 07:49, 18:43
2024-02-20, Montroy, ES, clear sky, 14.9, 64%, 4.0, NNE, 07:49, 18:43
2024-02-21, Montroy, ES, overcast clouds, 5.7, 90%, 3.8, WSW, 07:47, 18:45
2024-02-21, Montroy, ES, broken clouds, 17.1, 41%, 3.0, SSE, 07:47, 18:45
2024-02-21, Montroy, ES, overcast clouds, 15.5, 53%, 4.0, NW, 07:47, 18:45
2024-02-22, Montroy, ES, broken clouds, 12.5, 61%, 11.6, W, 07:46, 18:46
2024-02-22, Montroy, ES, broken clouds, 21.8, 34%, 3.0, WNW, 07:46, 18:46
2024-02-22, Montroy, ES, overcast clouds, 20.8, 35%, 11.0, WNW, 07:46, 18:46
2024-02-23, Montroy, ES, clear sky, 10.1, 47%, 5.0, WNW, 07:45, 18:47
2024-02-23, Montroy, ES, clear sky, 15.5, 35%, 13.0, WNW, 07:45, 18:47
2024-02-23, Montroy, ES, broken clouds, 15.5, 37%, 7.0, W, 07:45, 18:47
2024-02-24, Montroy, ES, overcast clouds, 9.2, 61%, 12.0, NW, 07:43, 18:48
2024-02-24, Montroy, ES, scattered clouds, 14.4, 37%, 22.0, WNW, 07:43, 18:48
2024-02-24, Montroy, ES, scattered clouds, 15.5, 30%, 12.0, NW, 07:43, 18:48
2024-02-25, Montroy, ES, overcast clouds, 11.7, 63%, 11.0, WNW, 07:42, 18:49
2024-02-25, Montroy, ES, overcast clouds, 16.4, 57%, 5.0, W, 07:42, 18:49
2024-02-25, Montroy, ES, overcast clouds, 17.8, 55%, 6.0, W, 07:42, 18:49
2024-02-26, Montroy, ES, overcast clouds, 13.8, 67%, 9.0, WNW, 07:40, 18:50
2024-02-26, Montroy, ES, overcast clouds, 16.7, 50%, 17.0, W, 07:40, 18:50
2024-02-26, Montroy, ES, broken clouds, 16.2, 38%, 13.0, WNW, 07:40, 18:50
2024-02-27, Montroy, ES, overcast clouds, 11.5, 46%, 9.0, WNW, 07:39, 18:51
2024-02-27, Montroy, ES, overcast clouds, 14.4, 42%, 15.0, NNW, 07:39, 18:51
2024-02-27, Montroy, ES, broken clouds, 15.8, 43%, 15.2, NNW, 07:39, 18:51
2024-02-28, Montroy, ES, scattered clouds, 8.9, 57%, 5.9, WSW, 07:38, 18:52
2024-02-28, Montroy, ES, few clouds, 16.9, 29%, 3.0, WSW, 07:38, 18:52
2024-02-28, Montroy, ES, clear sky, 15.3, 37%, 5.0, ESE, 07:38, 18:52
2024-02-29, Montroy, ES, clear sky, 7.6, 74%, 7.5, W, 07:36, 18:53
2024-02-29, Montroy, ES, clear sky, 18.1, 36%, 8.0, WNW, 07:36, 18:53
**Mar**,,,,,,,,,
